Feature,Wilcoxon_stat,Wilcoxon_p,Effect_size,Significant
age,0.0,9.238207626672069e-178,0.8662263170446709,True
uNE,156072.0,1.8995935243848616e-39,0.4004451786105507,True
HRV_Prc80NN,215119.5,3.507652067277967e-13,0.22162802684228586,True
HRV_MeanNN,216638.0,5.604094105561523e-13,0.219692062913096,True
HRV_pNN20,216869.0,6.615334150750682e-13,0.2190026667217327,True
HRnooutliers.0,216628.0,7.610246520037822e-13,0.21841880077057246,True
HR_5min.0,216628.0,7.610246520037822e-13,0.21841880077057246,True
HR,217542.0,1.069566985542856e-12,0.21699416612957892,True
HRV_MedianNN,217143.0,2.0417533100157514e-12,0.21426263291865397,True
HRV_IALS,220534.0,8.598360814436304e-12,0.20806484403192044,True
HRV_Prc20NN,219699.5,8.885076911212494e-12,0.2079213736132837,True
lnHF.0,220965.0,1.1529114326811032e-11,0.2067785680211949,True
HRV_pNN50,220821.0,2.56055751585493e-11,0.20323970730783547,True
HRV_PSS,221898.5,2.9094972326980216e-11,0.2026676032382281,True
HRV_PIP,223031.5,4.5919976240405344e-11,0.20061130740790706,True
lnRMSSD.0,226275.0,3.7061744407635203e-10,0.1909314088171285,True
HRV_ShanEn,226396.0,3.9987969688036274e-10,0.19057029652641436,True
HRV_SDANN1,226719.0,4.894829326648994e-10,0.18960633561814444,True
RMSSD.0,229365.0,2.472126105792857e-09,0.18170961560798252,True
HF.0,229546.0,2.7551270984639914e-09,0.18116943937145974,True
lnSDNN.0,229732.0,3.078748673066163e-09,0.1806143411394529,True
SAI_idx,229131.5,3.6986790045222224e-09,0.1796938430156495,True
BAI_idx,229410.5,4.364977862000913e-09,0.17885887199961334,True
PAI_idx,230816.5,9.946081677960012e-09,0.17465116651424042,True
SDNN.0,232661.0,1.6958268900712153e-08,0.17187303618489352,True
HF,232744.0,1.7777572444287764e-08,0.17162533105985817,True
HRV_CVI,233967.0,3.5364558742094853e-08,0.16797541096445834,True
HRV_MadNN,227142.0,7.729918509650697e-08,0.16373254065973425,True
HRV_IQRNN,234049.0,7.922443201973117e-08,0.16359737798933077,True
HRV_MaxNN,234570.0,8.184960152110312e-08,0.16341811483881516,True
HRV_SampEn,236818.0,1.6648037931866358e-07,0.1594668891394502,True
HRV_HTI,238173.5,3.3862500815137734e-07,0.15542153662962077,True
HRV_SDNNa,239001.0,5.179866664254424e-07,0.15295194591111178,True
TOTAL,239491.0,6.642431384728814e-07,0.15148959035367443,True
HRV_SD2a,239557.0,6.867540585161869e-07,0.1512926200132849,True
HRV_SDNN,240058.0,8.83285724147046e-07,0.14979743606578258,True
