Feature Name,Mean Rank,Number of Appearances
HRV_kurtosis,1.54,100
HR_5min.0_max_HRV_pNN20,2.01,100
p114_t1,2.96,100
uNE,5.00,100
HRV_SI,6.18,98
stress_load_geometric,6.32,97
HRV_pNN50,7.29,94
habituation,7.00,70
HRV_LFn,8.52,42
autonomic_total,8.67,42
HRV_Prc20NN_exp_decay,6.49,39
HRV_MeanNN_exp_decay,6.27,30
HR_5min.0_div_HRV_Prc20NN,8.64,25
HRV_Cd,8.96,23
stress_variability,8.90,10
cardiac_efficiency,9.60,10
HR_5min.0_div_lnHF.0,8.20,5
HR_5min.0_div_HRV_MeanNN,9.67,3
hrv_stress_ratio,9.50,2
feature_p25,10.00,2
isi120,10.00,2
HRV_PI,8.00,1
p85,9.00,1
sCotinine,9.00,1
HRV_GI,10.00,1
HRV_MFDFA_alpha1_Asymmetry,10.00,1
feature_p75,10.00,1
