Feature,Mann_Whitney_U,MW_p_value,Cohen_d,Significant
uNE,898978.0,7.161865537445994e-64,-0.6395935534725709,True
age,1038259.0,9.607957818709186e-33,-0.2716159564007248,True
HRV_SDANN1,1607490.0,7.812746326428508e-17,0.1016598063549794,True
HRV_Prc80NN,1593314.5,4.889187460796169e-15,0.2947744483253517,True
HRV_MeanNN,1589911.5,1.2715061969823031e-14,0.2885446070445482,True
HR,1156558.5,1.2715061969823031e-14,-0.30526421245764346,True
HRnooutliers.0,1157027.5,1.4488718853795698e-14,-0.3051300554542692,True
HR_5min.0,1157027.5,1.4488718853795698e-14,-0.3051300554542692,True
HRV_MedianNN,1585043.0,4.866011746281585e-14,0.28196527853246434,True
HRV_pNN50,1575677.5,5.920981574167851e-13,0.2416544177597885,True
HRV_Prc20NN,1575521.0,6.168978087129893e-13,0.2670120752270347,True
HRV_pNN20,1572846.0,1.2339379316847053e-12,0.28770890243282804,True
SDNN.0,1572306.0,1.417748293296954e-12,0.227099137370669,True
lnSDNN.0,1572306.0,1.417748293296954e-12,0.26540956484075606,True
HRV_ShanEn,1568705.5,3.5453865279203916e-12,0.26503505121321297,True
TOTAL,1567938.0,4.301425604320442e-12,0.14936679621468424,True
PAI_idx,1567391.0,4.9342253270806345e-12,0.23793867399996352,True
BAI_idx,1179079.0,4.9342253270806345e-12,-0.12286258500556857,True
SAI_idx,1179079.0,4.9342253270806345e-12,-0.18494936604305784,True
HRV_IQRNN,1566029.0,6.931133450798394e-12,0.19938020213032676,True
lnRMSSD.0,1565132.5,8.665094710106358e-12,0.25496450344928123,True
RMSSD.0,1565132.5,8.665094710106358e-12,0.20642290021049312,True
HRV_MadNN,1564496.5,1.009043818514454e-11,0.2105740096381971,True
LF,1557713.0,5.268881694366362e-11,0.13659395945816616,True
lnHF.0,1556984.0,6.268227585444532e-11,0.24461064366220978,True
HF.0,1556984.0,6.268227585444532e-11,0.1327360393335801,True
HRV_HTI,1553699.5,1.3596283523321636e-10,0.2197891430210605,True
uE,1553438.0,1.445285170245069e-10,0.24552289897685278,True
HF,1553344.0,1.4773353660217763e-10,0.13300930338726746,True
HRV_SD2a,1553151.0,1.5453326232955438e-10,0.15312529614845777,True
HRV_SDNNa,1552037.0,2.0018535092712854e-10,0.13758005118070354,True
HRV_SD2,1551225.0,2.4151726627594473e-10,0.14756966188034326,True
LF.0,1551146.0,2.459574561206072e-10,0.15538437473892266,True
HRV_SDNN,1550260.0,3.015522555712588e-10,0.13325366257436969,True
HRV_TINN,1549608.0,3.4716747843125786e-10,0.19919593344741718,True
HRV_SDNNd,1547183.0,6.073613695898507e-10,0.12954412573136953,True
HRV_CVI,1546144.0,7.673217457625443e-10,0.23861489116296164,True
HRV_S,1546144.0,7.673217457625443e-10,0.033459987865494374,True
VLF,1545280.0,9.310337910021936e-10,0.11672501444221918,True
HRV_SD2d,1544832.0,1.0288615419352032e-09,0.1398435811895536,True
HRV_MaxNN,1543243.5,1.4632386606158792e-09,0.09660807887063048,True
HRV_PSS,1542522.0,1.715457946326347e-09,0.21841326719536983,True
habituation,1542078.5,1.890921181845234e-09,0.1596319379384551,True
HRV_SDNNI1,1540584.0,2.6208835281275757e-09,0.1212602921523427,True
HRV_SD1d,1539424.0,3.3702032581453526e-09,0.11130045521889671,True
HRV_SDSD,1532784.0,1.3768992939250934e-08,0.10877512561319143,True
HRV_SD1,1532784.0,1.3768992939250934e-08,0.10877512561319111,True
HRV_RMSSD,1532755.0,1.3852239490144117e-08,0.1087754341240346,True
HRV_IALS,1532451.0,1.475475236029631e-08,0.2081090822699974,True
p90,1528623.5,3.202869588488624e-08,0.06979818601456432,True
HRV_SD1a,1526039.0,5.440717258113729e-08,0.1060572081279611,True
HRV_PIP,1525626.0,5.9074725176091724e-08,0.19948732755569382,True
negant,1520943.0,1.4804342112606756e-07,0.12368411490922371,True
